task_id,items_count,score
001,1,0.6612500000000002
002,2,0.4507966035238579
003,3,0.43475380093910204
004,4,0.41824490888110977
005,5,0.45117758042770867
006,6,0.420138403080955
007,7,0.4063156004785894
008,8,0.40512981078484
009,9,0.4258685411045557
010,10,0.40255461362718403
011,11,0.4166724708672724
012,12,0.4071659026918209
013,13,0.4086434275892604
014,14,0.406974568963056
015,15,0.43287902033554765
016,16,0.4124767582980888
017,17,0.4310293596550354
018,18,0.4201371940162274
019,19,0.4229961932502116
020,20,0.4401839657707701
021,21,0.4632411193516748
022,22,0.46545454545454557
023,23,0.4452173913043479
024,24,0.41121562782521776
025,25,0.46107474429855455
026,26,0.42487274308649103
027,27,0.4023477558976835
028,28,0.39504194179493496
029,29,0.46398212229357877
030,30,0.4940833333333334
031,31,0.47814516129032264
032,32,0.3972309363389101
033,33,0.4491666666666667
034,34,0.435177623392775
035,35,0.45714285714285713
036,36,0.40146330974618905
037,37,0.47675675675675677
038,38,0.46421052631578946
039,39,0.4523076923076923
040,40,0.3933803817836301
041,41,0.4302439024390244
042,42,0.42000000000000004
043,43,0.4102325581395349
044,44,0.40090909090909094
045,45,0.4195365174370135
046,46,0.4500543478260869
047,47,0.44047872340425526
048,48,0.39439995037924985
049,49,0.45376912283848897
050,50,0.38955747410514313
051,51,0.47078431372549007
052,52,0.4080940400591429
053,53,0.43692934624775204
054,54,0.4082628253793772
055,55,0.45454545454545453
056,56,0.40321531430631946
057,57,0.43859649122807015
058,58,0.43103448275862066
059,59,0.423728813559322
060,60,0.4316737363941997
061,61,0.4432786885245902
062,62,0.43612903225806454
063,63,0.39352638153618225
064,64,0.4096077024605216
065,65,0.41600000000000004
066,66,0.4176136363636362
067,67,0.4113805970149252
068,68,0.405330882352941
069,69,0.39945652173913027
070,70,0.3937499999999998
071,71,0.44169014084507036
072,72,0.3906646806522201
073,73,0.42958904109589036
074,74,0.42378378378378373
075,75,0.3959239123445045
076,76,0.4198719398556823
077,77,0.4597727272727271
078,78,0.453878205128205
079,79,0.4481329113924049
080,80,0.43969445953092967
081,81,0.3979418177452058
082,82,0.43902439024390244
083,83,0.43373493975903615
084,84,0.4214583333333332
085,85,0.4235294117647059
086,86,0.4186046511627907
087,87,0.41379310344827586
088,88,0.4090909090909091
089,89,0.4319101123595506
090,90,0.4025011469314816
091,91,0.4224175824175825
092,92,0.4178260869565218
093,93,0.4133333333333334
094,94,0.408936170212766
095,95,0.40463157894736845
096,96,0.4004166666666667
097,97,0.4091752577319586
098,98,0.4049999999999998
099,99,0.4009090909090907
100,100,0.3968999999999998
101,101,0.3929702970297028
102,102,0.38911764705882335
103,103,0.42934466019417467
104,104,0.42385065438539665
105,105,0.4211666666666666
106,106,0.417193396226415
107,107,0.41329439252336436
108,108,0.39664437888472054
109,109,0.40779363031919236
110,110,0.40804879845997083
111,111,0.40440463234703566
112,112,0.3944126137207608
113,113,0.39385377471927574
114,114,0.4298245614035088
115,115,0.4260869565217391
116,116,0.4224137931034483
117,117,0.40791087491323086
118,118,0.4152542372881356
119,119,0.4117647058823529
120,120,0.4083333333333333
121,121,0.4049586776859504
122,122,0.4016393442622951
123,123,0.3983739837398374
124,124,0.3951612903225806
125,125,0.41472000000000003
126,126,0.40196610562362706
127,127,0.40818897637795276
128,128,0.39705273254774337
129,129,0.4018604651162791
130,130,0.3987692307692308
131,131,0.3957251908396947
132,132,0.39272727272727276
133,133,0.3897744360902256
134,134,0.4031529850746268
135,135,0.4001666666666666
136,136,0.3972242647058823
137,137,0.3943248175182481
138,138,0.39146739130434777
139,139,0.3886510791366906
140,140,0.38587499999999997
141,141,0.42049645390070917
142,142,0.41753521126760557
143,143,0.41461538461538455
144,144,0.40078774809791523
145,145,0.40889655172413786
146,146,0.40609589041095884
147,147,0.40333333333333327
148,148,0.43243243243243246
149,149,0.42953020134228187
150,150,0.40590803598542247
151,151,0.3926490066225166
152,152,0.39032783583032943
153,153,0.41830065359477125
154,154,0.4155844155844156
155,155,0.4129032258064516
156,156,0.41025641025641024
157,157,0.40764331210191085
158,158,0.4050632911392405
159,159,0.40756289308176086
160,160,0.39093473513345584
161,161,0.40249999999999986
162,162,0.40001543209876533
163,163,0.3975613496932514
164,164,0.3951371951219511
165,165,0.3927424242424241
166,166,0.4050602409638554
167,167,0.4026347305389221
168,168,0.4002380952380952
169,169,0.3978698224852071
170,170,0.39552941176470585
171,171,0.3932163742690058
172,172,0.3909302325581395
173,173,0.38867052023121385
174,174,0.38643678160919537
175,175,0.3842285714285714
176,176,0.3820454545454545
177,177,0.39864406779661016
178,178,0.39640449438202247
179,179,0.3941899441340782
180,180,0.392
181,181,0.3898342541436464
182,182,0.3876923076923077
183,183,0.3855737704918033
184,184,0.3834782608695652
185,185,0.41385135135135137
186,186,0.4116263440860215
187,187,0.40942513368983957
188,188,0.4072473404255319
189,189,0.4050925925925926
190,190,0.4029605263157895
191,191,0.40085078534031415
192,192,0.3941552798359707
193,193,0.39669689119170987
194,194,0.4175257731958763
195,195,0.4153846153846154
196,196,0.4083812635886919
197,197,0.41116751269035534
198,198,0.4090909090909091
199,199,0.40703517587939697
200,200,0.3890809390770537
TOTAL,20100,83.03168540130133
